
Too Fast messages are printed when the interpolated speeds exceed
the following:
     Trains/Subway - 41 mph
     Express Buses - 41 mph
     Ferries       - 15 mph
     All others    - 30 mph

Route ID, Stop Group, TimePoints (sequence), time, distance, speed
  23413: B     1A-E-S-1    18- 23   hrs=0.0667 mi= 3.494 mph=52.4
  23418: B     1A-W-S-1    48- 54   hrs=0.0833 mi= 2.629 mph=31.5
  23414: B     1A-E-U-1     1- 12   hrs=0.0833 mi= 3.422 mph=41.1
  23419: B     1A-W-U-1    48- 54   hrs=0.0833 mi= 2.629 mph=31.5
  23412: B     1A-E-W-1    18- 23   hrs=0.0667 mi= 3.494 mph=52.4
  23417: B     1A-W-W-2    48- 54   hrs=0.0833 mi= 2.629 mph=31.5
  15682: B     1B-E-W-1    12- 22   hrs=0.1000 mi= 3.146 mph=31.5
  15683: B     1B-W-W-1    52- 61   hrs=0.1000 mi= 3.339 mph=33.4
   2047: B     1C-E-S-1     1- 13   hrs=0.1000 mi= 3.244 mph=32.4
   2048: B     1C-E-S-2    20- 32   hrs=0.1000 mi= 3.244 mph=32.4
   2052: B     1C-W-S-1    10- 16   hrs=0.0833 mi= 2.711 mph=32.5
   2049: B     1C-E-U-1    11- 20   hrs=0.0667 mi= 2.014 mph=30.2
   2053: B     1C-W-U-1    10- 16   hrs=0.0667 mi= 2.711 mph=40.7
   2054: B     1C-W-U-2    16- 25   hrs=0.0833 mi= 3.112 mph=37.3
   2045: B     1C-E-W-1     1- 13   hrs=0.0667 mi= 3.244 mph=48.7
   2046: B     1C-E-W-2    32- 38   hrs=0.0500 mi= 1.880 mph=37.6
   2050: B     1C-W-W-1     9- 15   hrs=0.0500 mi= 2.711 mph=54.2
   2051: B     1C-W-W-2     9- 15   hrs=0.0833 mi= 2.711 mph=32.5
    990: B     1Z-E-W-1    19- 24   hrs=0.0833 mi= 3.493 mph=41.9
    992: B    21A-N-W-1     1-  7   hrs=0.0500 mi= 2.259 mph=45.2
    993: B    21A-S-W-1     9- 17   hrs=0.0667 mi= 2.538 mph=38.1
    994: B    21D-N-W-1     1-  7   hrs=0.0500 mi= 3.173 mph=63.5
    995: B    21D-S-W-1     3-  9   hrs=0.0833 mi= 3.005 mph=36.1
  15693: B    22A-E-S-1    40- 43   hrs=0.1167 mi= 3.679 mph=31.5
  15696: B    22A-W-S-1     1-  4   hrs=0.1000 mi= 3.203 mph=32.0
  15692: B    22A-E-W-1    40- 43   hrs=0.1167 mi= 3.679 mph=31.5
   3056: B    23A-E-S-1    30- 41   hrs=0.0500 mi= 2.236 mph=44.7
   3063: B    23A-W-S-1    80- 89   hrs=0.0667 mi= 2.469 mph=37.0
   3057: B    23A-E-U-1    30- 41   hrs=0.0500 mi= 2.236 mph=44.7
   3064: B    23A-W-U-1    80- 89   hrs=0.0667 mi= 2.469 mph=37.0
   3054: B    23A-E-W-1    30- 41   hrs=0.0667 mi= 2.236 mph=33.5
  18926: B    23A-E-W-3    17- 30   hrs=0.0667 mi= 2.040 mph=30.6
   3059: B    23A-W-W-1    58- 67   hrs=0.0667 mi= 2.469 mph=37.0
   3060: B    23A-W-W-2    80- 89   hrs=0.0667 mi= 2.469 mph=37.0
   3066: B    23C-E-W-1    16- 27   hrs=0.0667 mi= 2.236 mph=33.5
   3068: B    23C-E-W-3    16- 27   hrs=0.0667 mi= 2.236 mph=33.5
   3069: B    23C-E-W-4    16- 27   hrs=0.0667 mi= 2.236 mph=33.5
   3072: B    23C-W-W-3    30- 39   hrs=0.0667 mi= 2.469 mph=37.0
   3074: B    23C-W-W-5    59- 68   hrs=0.0667 mi= 2.469 mph=37.0
   1425: B    24T-N-W-1    17- 34   hrs=0.0833 mi= 2.739 mph=32.9
  23955: B    25A-E-S-1    62- 65   hrs=0.1167 mi= 3.783 mph=32.4
  23957: B    25A-W-S-1     7- 20   hrs=0.0833 mi= 2.797 mph=33.6
  23963: B    25A-W-U-2     7- 20   hrs=0.0833 mi= 2.797 mph=33.6
  23964: B    25A-W-U-3     7- 20   hrs=0.0667 mi= 2.797 mph=42.0
  32038: B    25B-S-S-1     1- 22   hrs=0.1500 mi= 4.533 mph=30.2
  32039: B    25B-S-S-2     1- 22   hrs=0.1500 mi= 4.533 mph=30.2
  23998: B    25C-W-W-1     1-  4   hrs=0.1333 mi= 4.100 mph=30.8
   1003: B    28A-E-S-2     4- 10   hrs=0.0667 mi= 2.135 mph=32.0
  16243: B    28A-W-S-3     4-  6   hrs=0.0333 mi= 1.118 mph=33.5
  16244: B    28A-E-U-2    67- 73   hrs=0.0500 mi= 1.959 mph=39.2
  16245: B    28A-W-U-3     4-  6   hrs=0.0333 mi= 1.118 mph=33.5
  15697: B    28A-E-W-1     4- 10   hrs=0.0667 mi= 2.135 mph=32.0
  15698: B    28A-E-W-2     4- 10   hrs=0.0667 mi= 2.135 mph=32.0
  15701: B    28A-W-W-1     4-  6   hrs=0.0333 mi= 1.118 mph=33.5
   1503: B    28F-N-W-1     5- 10   hrs=0.1833 mi= 5.795 mph=31.6
   1504: B    28F-S-W-1     1-  7   hrs=0.1833 mi= 5.862 mph=32.0
   1505: B    28G-N-W-1    22- 25   hrs=0.2000 mi= 6.298 mph=31.5
   1506: B    28G-S-W-1     1-  3   hrs=0.1667 mi= 5.420 mph=32.5
  23915: B    28X-E-W-2     4-  7   hrs=0.0667 mi= 2.900 mph=43.5
   1017: B    29C-N-W-1    30- 32   hrs=0.1833 mi= 6.066 mph=33.1
   1018: B    29C-S-W-1     1-  3   hrs=0.1667 mi= 6.839 mph=41.0
   1019: X    29E-N-W-1    68- 70   hrs=0.1833 mi= 6.066 mph=33.1
   1020: X    29E-S-W-1     1-  4   hrs=0.2000 mi= 6.665 mph=33.3
   1593: X    29G-N-W-1     1- 11   hrs=0.0667 mi= 2.192 mph=32.9
   1594: X    29G-S-W-1     1-  3   hrs=0.1667 mi= 6.039 mph=36.2
   1595: X    29H-N-W-1    50- 52   hrs=0.1833 mi= 6.066 mph=33.1
   1596: X    29H-S-W-1     1-  4   hrs=0.2167 mi= 6.665 mph=30.8
